LECROYWR204MXi-AðÇ,51184,Waveform
Segments,1,SegmentSize,502
Segment,TrigTime,TimeSinceSegment1
#1,22-Jan-2015 11:35:11,0                 
Time,Ampl
-2.71162e-007,-0.00330688
-2.69162e-007,-0.00490682
-2.67162e-007,-0.00650676
-2.65162e-007,-0.00330688
-2.63162e-007,-0.00970664
-2.61162e-007,-0.00170694
-2.59162e-007,-0.00170694
-2.57162e-007,-0.00970664
-2.55162e-007,-0.00650676
-2.53162e-007,-0.00490682
-2.51162e-007,-0.0081067
-2.49162e-007,-0.00650676
-2.47162e-007,-0.00650676
-2.45162e-007,-0.0081067
-2.43162e-007,-0.0081067
-2.41162e-007,-0.0081067
-2.39162e-007,-0.00650676
-2.37162e-007,-0.00650676
-2.35162e-007,-0.00330688
-2.33162e-007,-0.0081067
-2.31162e-007,-0.00170694
-2.29162e-007,-0.00330688
-2.27162e-007,-0.00490682
-2.25162e-007,-0.00490682
-2.23162e-007,-0.000107004
-2.21162e-007,-0.00490682
-2.19162e-007,-0.00490682
-2.17162e-007,-0.00330688
-2.15162e-007,-0.00490682
-2.13162e-007,-0.00490682
-2.11162e-007,-0.00650676
-2.09162e-007,-0.00330688
-2.07162e-007,-0.00650676
-2.05162e-007,-0.00490682
-2.03162e-007,-0.00490682
-2.01162e-007,-0.0081067
-1.99162e-007,-0.00330688
-1.97162e-007,-0.00330688
-1.95162e-007,-0.00330688
-1.93162e-007,-0.00330688
-1.91162e-007,-0.00650676
-1.89162e-007,-0.00650676
-1.87162e-007,-0.00650676
-1.85162e-007,-0.00490682
-1.83162e-007,-0.00650676
-1.81162e-007,-0.00170694
-1.79162e-007,-0.00490682
-1.77162e-007,-0.00490682
-1.75162e-007,-0.00490682
-1.73162e-007,-0.0081067
-1.71162e-007,-0.00490682
-1.69162e-007,-0.000107004
-1.67162e-007,-0.00970664
-1.65162e-007,-0.00170694
-1.63162e-007,-0.00490682
-1.61162e-007,-0.00650676
-1.59162e-007,-0.00170694
-1.57162e-007,-0.00170694
-1.55162e-007,-0.000107004
-1.53162e-007,-0.0081067
-1.51162e-007,-0.00330688
-1.49162e-007,-0.00490682
-1.47162e-007,-0.00170694
-1.45162e-007,-0.00490682
-1.43162e-007,-0.00650676
-1.41162e-007,-0.00650676
-1.39162e-007,-0.00170694
-1.37162e-007,-0.00170694
-1.35162e-007,-0.00330688
-1.33162e-007,-0.00490682
-1.31162e-007,-0.00330688
-1.29162e-007,-0.00490682
-1.27162e-007,-0.00650676
-1.25162e-007,-0.00490682
-1.23162e-007,-0.00490682
-1.21162e-007,-0.00330688
-1.19162e-007,-0.00650676
-1.17162e-007,-0.00490682
-1.15162e-007,-0.00490682
-1.13162e-007,-0.00490682
-1.11162e-007,-0.000107004
-1.09162e-007,-0.00490682
-1.07162e-007,-0.00330688
-1.05162e-007,-0.00650676
-1.03162e-007,-0.00330688
-1.01162e-007,-0.00170694
-9.91618e-008,-0.00330688
-9.71618e-008,-0.00650676
-9.51618e-008,-0.00650676
-9.31618e-008,-0.0081067
-9.11618e-008,-0.00490682
-8.91618e-008,-0.0081067
-8.71618e-008,-0.00970664
-8.51618e-008,-0.00330688
-8.31618e-008,-0.0081067
-8.11618e-008,-0.00330688
-7.91618e-008,-0.00490682
-7.71618e-008,-0.00650676
-7.51618e-008,-0.00650676
-7.31618e-008,-0.00170694
-7.11618e-008,-0.00490682
-6.91618e-008,-0.00330688
-6.71618e-008,-0.00330688
-6.51618e-008,-0.00650676
-6.31618e-008,-0.00650676
-6.11618e-008,-0.00170694
-5.91618e-008,-0.00650676
-5.71618e-008,-0.00490682
-5.51618e-008,-0.00330688
-5.31618e-008,-0.00970664
-5.11618e-008,-0.00490682
-4.91618e-008,-0.0081067
-4.71618e-008,-0.0129065
-4.51618e-008,-0.0113066
-4.31618e-008,-0.0129065
-4.11618e-008,-0.0145065
-3.91618e-008,-0.0145065
-3.71618e-008,-0.0145065
-3.51618e-008,-0.0161064
-3.31618e-008,-0.0161064
-3.11618e-008,-0.0193063
-2.91618e-008,-0.0193063
-2.71618e-008,-0.0225061
-2.51618e-008,-0.0241061
-2.31618e-008,-0.027306
-2.11618e-008,-0.027306
-1.91618e-008,-0.027306
-1.71618e-008,-0.0289059
-1.51618e-008,-0.0241061
-1.31618e-008,-0.0305058
-1.11618e-008,-0.0305058
-9.16182e-009,-0.0321058
-7.16182e-009,-0.027306
-5.16182e-009,-0.0305058
-3.16182e-009,-0.0337057
-1.16182e-009,-0.0321058
8.38182e-010,-0.0305058
2.83818e-009,-0.0337057
4.83818e-009,-0.0305058
6.83818e-009,-0.0337057
8.83818e-009,-0.0305058
1.08382e-008,-0.0353057
1.28382e-008,-0.0385055
1.48382e-008,-0.0337057
1.68382e-008,-0.0321058
1.88382e-008,-0.0353057
2.08382e-008,-0.0337057
2.28382e-008,-0.0353057
2.48382e-008,-0.0369056
2.68382e-008,-0.0337057
2.88382e-008,-0.0353057
3.08382e-008,-0.0353057
3.28382e-008,-0.0385055
3.48382e-008,-0.0369056
3.68382e-008,-0.0369056
3.88382e-008,-0.0337057
4.08382e-008,-0.0417054
4.28382e-008,-0.0353057
4.48382e-008,-0.0337057
4.68382e-008,-0.0353057
4.88382e-008,-0.0353057
5.08382e-008,-0.0353057
5.28382e-008,-0.0369056
5.48382e-008,-0.0369056
5.68382e-008,-0.0337057
5.88382e-008,-0.0305058
6.08382e-008,-0.0353057
6.28382e-008,-0.0353057
6.48382e-008,-0.0369056
6.68382e-008,-0.0337057
6.88382e-008,-0.0369056
7.08382e-008,-0.0353057
7.28382e-008,-0.0353057
7.48382e-008,-0.0321058
7.68382e-008,-0.0289059
7.88382e-008,-0.0337057
8.08382e-008,-0.0305058
8.28382e-008,-0.0321058
8.48382e-008,-0.0321058
8.68382e-008,-0.0305058
8.88382e-008,-0.027306
9.08382e-008,-0.0321058
9.28382e-008,-0.025706
9.48382e-008,-0.027306
9.68382e-008,-0.0305058
9.88382e-008,-0.0289059
1.00838e-007,-0.0305058
1.02838e-007,-0.025706
1.04838e-007,-0.025706
1.06838e-007,-0.0289059
1.08838e-007,-0.0305058
1.10838e-007,-0.0289059
1.12838e-007,-0.025706
1.14838e-007,-0.025706
1.16838e-007,-0.0225061
1.18838e-007,-0.025706
1.20838e-007,-0.0241061
1.22838e-007,-0.025706
1.24838e-007,-0.0209062
1.26838e-007,-0.0225061
1.28838e-007,-0.0241061
1.30838e-007,-0.0225061
1.32838e-007,-0.025706
1.34838e-007,-0.0225061
1.36838e-007,-0.0209062
1.38838e-007,-0.0209062
1.40838e-007,-0.0225061
1.42838e-007,-0.0177063
1.44838e-007,-0.0209062
1.46838e-007,-0.0193063
1.48838e-007,-0.0177063
1.50838e-007,-0.0193063
1.52838e-007,-0.0193063
1.54838e-007,-0.0161064
1.56838e-007,-0.0161064
1.58838e-007,-0.0161064
1.60838e-007,-0.0209062
1.62838e-007,-0.0161064
1.64838e-007,-0.0209062
1.66838e-007,-0.0129065
1.68838e-007,-0.0161064
1.70838e-007,-0.0129065
1.72838e-007,-0.0161064
1.74838e-007,-0.0161064
1.76838e-007,-0.0129065
1.78838e-007,-0.0161064
1.80838e-007,-0.00970664
1.82838e-007,-0.0113066
1.84838e-007,-0.0113066
1.86838e-007,-0.0145065
1.88838e-007,-0.0113066
1.90838e-007,-0.0129065
1.92838e-007,-0.0113066
1.94838e-007,-0.0113066
1.96838e-007,-0.00970664
1.98838e-007,-0.0129065
2.00838e-007,-0.00970664
2.02838e-007,-0.0081067
2.04838e-007,-0.0145065
2.06838e-007,-0.0113066
2.08838e-007,-0.0177063
2.10838e-007,-0.0129065
2.12838e-007,-0.0081067
2.14838e-007,-0.00970664
2.16838e-007,-0.0129065
2.18838e-007,-0.00970664
2.20838e-007,-0.00650676
2.22838e-007,-0.0129065
2.24838e-007,-0.0129065
2.26838e-007,-0.0081067
2.28838e-007,-0.00970664
2.30838e-007,-0.00970664
2.32838e-007,-0.00970664
2.34838e-007,-0.00650676
2.36838e-007,-0.0081067
2.38838e-007,-0.0081067
2.40838e-007,-0.00970664
2.42838e-007,-0.00650676
2.44838e-007,-0.00650676
2.46838e-007,-0.0081067
2.48838e-007,-0.0081067
2.50838e-007,-0.00490682
2.52838e-007,-0.0081067
2.54838e-007,-0.00650676
2.56838e-007,-0.00490682
2.58838e-007,-0.0081067
2.60838e-007,-0.00650676
2.62838e-007,-0.00970664
2.64838e-007,-0.00650676
2.66838e-007,-0.00650676
2.68838e-007,-0.00490682
2.70838e-007,-0.00650676
2.72838e-007,-0.00490682
2.74838e-007,-0.00490682
2.76838e-007,-0.00650676
2.78838e-007,-0.00650676
2.80838e-007,-0.00490682
2.82838e-007,-0.00650676
2.84838e-007,-0.00650676
2.86838e-007,-0.00490682
2.88838e-007,-0.00970664
2.90838e-007,-0.00490682
2.92838e-007,-0.00490682
2.94838e-007,-0.00970664
2.96838e-007,-0.0081067
2.98838e-007,-0.00490682
3.00838e-007,-0.00330688
3.02838e-007,-0.00490682
3.04838e-007,-0.00650676
3.06838e-007,-0.00650676
3.08838e-007,-0.0081067
3.10838e-007,-0.00330688
3.12838e-007,-0.0081067
3.14838e-007,-0.00170694
3.16838e-007,-0.00650676
3.18838e-007,-0.00650676
3.20838e-007,-0.00650676
3.22838e-007,-0.00330688
3.24838e-007,-0.0081067
3.26838e-007,-0.00650676
3.28838e-007,-0.00490682
3.30838e-007,-0.00330688
3.32838e-007,-0.00490682
3.34838e-007,-0.00330688
3.36838e-007,-0.00490682
3.38838e-007,-0.00650676
3.40838e-007,-0.00650676
3.42838e-007,-0.00330688
3.44838e-007,-0.00490682
3.46838e-007,-0.00490682
3.48838e-007,-0.00490682
3.50838e-007,-0.00330688
3.52838e-007,-0.00490682
3.54838e-007,-0.00650676
3.56838e-007,-0.00330688
3.58838e-007,-0.00170694
3.60838e-007,-0.0081067
3.62838e-007,-0.00650676
3.64838e-007,-0.00330688
3.66838e-007,-0.00650676
3.68838e-007,-0.00650676
3.70838e-007,-0.00330688
3.72838e-007,-0.00650676
3.74838e-007,-0.00330688
3.76838e-007,-0.00650676
3.78838e-007,-0.00490682
3.80838e-007,-0.00650676
3.82838e-007,-0.00170694
3.84838e-007,-0.00650676
3.86838e-007,-0.00490682
3.88838e-007,-0.00650676
3.90838e-007,-0.00650676
3.92838e-007,-0.00490682
3.94838e-007,-0.00490682
3.96838e-007,-0.00490682
3.98838e-007,-0.00330688
4.00838e-007,-0.00330688
4.02838e-007,-0.00170694
4.04838e-007,-0.000107004
4.06838e-007,-0.00330688
4.08838e-007,-0.00490682
4.10838e-007,-0.00330688
4.12838e-007,-0.00650676
4.14838e-007,-0.0113066
4.16838e-007,-0.00490682
4.18838e-007,-0.00170694
4.20838e-007,-0.00490682
4.22838e-007,-0.0081067
4.24838e-007,-0.00490682
4.26838e-007,-0.00490682
4.28838e-007,-0.00650676
4.30838e-007,-0.00490682
4.32838e-007,-0.0081067
4.34838e-007,-0.00490682
4.36838e-007,-0.00490682
4.38838e-007,-0.00170694
4.40838e-007,-0.0081067
4.42838e-007,-0.00490682
4.44838e-007,-0.00650676
4.46838e-007,-0.00490682
4.48838e-007,-0.00490682
4.50838e-007,-0.00490682
4.52838e-007,-0.0081067
4.54838e-007,-0.00330688
4.56838e-007,-0.0081067
4.58838e-007,-0.00650676
4.60838e-007,-0.00330688
4.62838e-007,-0.00330688
4.64838e-007,-0.00490682
4.66838e-007,-0.00490682
4.68838e-007,-0.00650676
4.70838e-007,-0.00490682
4.72838e-007,-0.00170694
4.74838e-007,-0.00490682
4.76838e-007,-0.0081067
4.78838e-007,-0.00490682
4.80838e-007,-0.00490682
4.82838e-007,-0.00650676
4.84838e-007,-0.00490682
4.86838e-007,-0.00330688
4.88838e-007,-0.00330688
4.90838e-007,-0.0081067
4.92838e-007,-0.00490682
4.94838e-007,-0.0081067
4.96838e-007,-0.00330688
4.98838e-007,-0.00650676
5.00838e-007,-0.00490682
5.02838e-007,-0.00330688
5.04838e-007,-0.0081067
5.06838e-007,-0.00650676
5.08838e-007,-0.00650676
5.10838e-007,-0.00970664
5.12838e-007,-0.0081067
5.14838e-007,-0.00330688
5.16838e-007,-0.00650676
5.18838e-007,-0.00490682
5.20838e-007,-0.00650676
5.22838e-007,-0.00490682
5.24838e-007,-0.00490682
5.26838e-007,-0.00650676
5.28838e-007,-0.00170694
5.30838e-007,-0.00330688
5.32838e-007,-0.00330688
5.34838e-007,-0.0081067
5.36838e-007,-0.00490682
5.38838e-007,-0.00170694
5.40838e-007,-0.00650676
5.42838e-007,-0.00650676
5.44838e-007,-0.00490682
5.46838e-007,-0.00490682
5.48838e-007,-0.00490682
5.50838e-007,-0.00490682
5.52838e-007,-0.00330688
5.54838e-007,-0.00650676
5.56838e-007,-0.00650676
5.58838e-007,-0.00650676
5.60838e-007,-0.0081067
5.62838e-007,-0.00490682
5.64838e-007,-0.00490682
5.66838e-007,-0.00650676
5.68838e-007,-0.00490682
5.70838e-007,-0.00970664
5.72838e-007,-0.00490682
5.74838e-007,-0.00330688
5.76838e-007,-0.00650676
5.78838e-007,-0.00650676
5.80838e-007,-0.00650676
5.82838e-007,-0.0081067
5.84838e-007,-0.00650676
5.86838e-007,-0.00970664
5.88838e-007,-0.00490682
5.90838e-007,-0.00490682
5.92838e-007,-0.00490682
5.94838e-007,-0.00490682
5.96838e-007,-0.00490682
5.98838e-007,-0.00650676
6.00838e-007,-0.00970664
6.02838e-007,-0.00490682
6.04838e-007,-0.00330688
6.06838e-007,-0.00650676
6.08838e-007,-0.00650676
6.10838e-007,-0.00490682
6.12838e-007,-0.00650676
6.14838e-007,-0.00330688
6.16838e-007,-0.00490682
6.18838e-007,-0.00970664
6.20838e-007,-0.00650676
6.22838e-007,-0.00490682
6.24838e-007,-0.00490682
6.26838e-007,-0.00650676
6.28838e-007,-0.00490682
6.30838e-007,-0.00650676
6.32838e-007,-0.0081067
6.34838e-007,-0.00330688
6.36838e-007,-0.0081067
6.38838e-007,-0.0081067
6.40838e-007,-0.00490682
6.42838e-007,-0.00650676
6.44838e-007,-0.00330688
6.46838e-007,-0.00490682
6.48838e-007,-0.00330688
6.50838e-007,-0.00650676
6.52838e-007,-0.00330688
6.54838e-007,-0.00650676
6.56838e-007,-0.00650676
6.58838e-007,-0.00650676
6.60838e-007,-0.00650676
6.62838e-007,-0.00650676
6.64838e-007,-0.00490682
6.66838e-007,-0.00650676
6.68838e-007,-0.00650676
6.70838e-007,-0.00970664
6.72838e-007,-0.0081067
6.74838e-007,-0.00330688
6.76838e-007,-0.00330688
6.78838e-007,-0.0081067
6.80838e-007,-0.0081067
6.82838e-007,-0.00490682
6.84838e-007,-0.00650676
6.86838e-007,-0.0081067
6.88838e-007,-0.00170694
6.90838e-007,-0.00490682
6.92838e-007,-0.00490682
6.94838e-007,-0.00490682
6.96838e-007,-0.00330688
6.98838e-007,-0.00650676
7.00838e-007,-0.00490682
7.02838e-007,-0.0081067
7.04838e-007,-0.00330688
7.06838e-007,-0.00330688
7.08838e-007,-0.0081067
7.10838e-007,-0.0081067
7.12838e-007,-0.00330688
7.14838e-007,-0.00330688
7.16838e-007,-0.00490682
7.18838e-007,-0.00330688
7.20838e-007,-0.00650676
7.22838e-007,-0.00330688
7.24838e-007,-0.00330688
7.26838e-007,-0.00490682
7.28838e-007,-0.00490682
7.30838e-007,-0.00170694
