FNDA-1,X,Y,X',Fe atomic,Ni Atomic,Del Fe /amu,sigma,del Ni /amu,sigma,,
,-800,605,0,99.22933,0.770671,1.02,± 0.35,-14.2907664626009,6.98722986111835,,2.02
,-650,605,150,99.24299,0.757013,0.15,± 0.35,-9.4105397800941,7.03619649051422,,1.15
,-500,605,300,99.2416,0.758407,0.42,± 0.35,-18.7830408896619,6.99880578203244,,1.42
,-425,605,375,99.23149,0.768515,0.19,± 0.35,-8.41501456920574,7.18610941211189,,1.19
,-350,605,450,99.22675,0.773243,0.57,± 0.34,-15.6986360179109,6.9645677932261,,1.57
,-275,605,525,99.25453,0.745469,0.53,± 0.34,-8.56943194472631,6.93824005346918,,1.53
,-200,605,600,99.20901,0.790992,-0.14,± 0.34,-17.3488504367997,6.83754615826766,,0.86
,-125,605,675,99.19761,0.802391,0.61,± 0.34,-16.1072380076782,6.8695187033674,,1.61
,-50,605,750,99.19729,0.802715,0.77,± 0.34,-8.25052992414688,6.85628833791076,,1.77
,25,605,825,98.69484,1.305165,1.30,± 0.33,-22.7166642935253,5.99269404307726,,2.30
,100,605,900,89.694,10.306,1.41,± 0.35,-24.8679594674434,2.5652415650409,,2.41
,175,605,975,67.69268,32.30733,2.60,± 0.33,-17.4853955840372,0.977440327497646,,3.60
,225,605,1025,57.74124,42.25876,1.03,± 0.39,-16.2010624073004,0.876438203343371,,2.03
,300,605,1100,45.26946,54.73054,-0.32,± 0.45,-14.7828429730684,0.793215529710453,,0.68
,375,605,1175,36.36043,63.63958,-1.71,± 0.52,-13.4870338947167,0.757551828832182,,-0.71
,450,605,1250,28.85868,71.14132,-1.76,± 0.63,-13.3353700900521,0.763932704227232,,-0.76
,525,605,1325,22.65344,77.34657,-1.74,± 0.75,-13.8821332163422,0.795315815120781,,-0.74
,600,605,1400,17.1705,82.8295,-6.60,± 0.97,-15.7153675300575,0.857873025715649,,-5.60
,675,605,1475,12.54612,87.45388,-7.29,± 1.12,-15.4321592487346,0.833527934779624,,-6.29
,750,605,1550,8.346512,91.65348,-6.90,± 1.44,-16.0574754417631,0.880124503289116,,-5.90
,825,605,1625,5.361951,94.63805,-13.82,± 1.90,-16.7724467229878,0.912364607591795,,-12.82
,900,605,1700,3.286207,96.71379,-8.95,± 2.62,-14.5942378952112,0.986007958792625,,-7.95
,975,605,1775,2.031355,97.96865,-14.09,± 3.40,-13.2952301042242,1.00518905510941,,-13.09
,1050,605,1850,1.449413,98.55059,-10.10,± 4.28,-12.2178685171436,1.01955461690433,,-9.10
,1125,605,1925,1.13534,98.86466,-1.49,± 4.98,-15.5866140330474,1.02116308182448,,-0.49
,1200,605,2000,0.967636,99.03236,-8.64,± 5.56,-13.6219692977862,1.06045637696826,,-7.64
,1275,605,2075,0.943799,99.05621,11.33,± 2.87,-15.229914800732,1.01119732149992,,12.33
,1350,555,2150,0.939991,99.06001,11.47,± 5.48,-13.2241290492779,1.02362371861531,,12.47
,1425,555,2225,0.926792,99.0732,9.73,± 5.81,-13.0311193867134,1.07137563770361,,