NAME,MUNI_TYPE,POP_1990,POP_2000,POP_2010,Pop_Density_1990,Pop_Density_2000,Pop_Density_2010,Pop_Dens_change_90-00,Pop_Dens_change_00-10,Pop_Dens_change_90-10,Area_square_miles,Longitude,Latitude
New Castle,town,16648,17491,17569,709.870,745.816,749.141,35.945,3.326,39.271,23.452,-73.77193,41.183868
New Hartford,town,21640,21172,22166,847.626,829.294,868.229,-18.331,38.934,20.603,25.530,-75.282073,43.058672
New Haven,town,2778,2930,2856,89.173,94.052,91.677,4.879,-2.375,2.504,31.153,-76.314973,43.471106
New Hudson,town,715,736,781,19.635,20.212,21.447,0.577,1.236,1.812,36.415,-78.250598,42.304772
New Lebanon,town,2379,2454,2305,66.234,68.322,64.174,2.088,-4.148,-2.060,35.918,-73.438378,42.469074
New Lisbon,town,996,1116,1114,22.266,24.948,24.904,2.683,-0.045,2.638,44.732,-75.140215,42.623144
New Paltz,town,11388,12830,14003,329.264,370.957,404.872,41.693,33.915,75.608,34.586,-74.088634,41.757453
New Rochelle,city,67265,72182,77062,4911.294,5270.304,5626.613,359.010,356.309,715.319,13.696,-73.778673,40.921535
New Scotland,town,9139,8626,8648,156.384,147.606,147.982,-8.778,0.376,-8.402,58.439,-73.940588,42.604931
New Windsor,town,22937,22866,25244,624.081,622.149,686.851,-1.932,64.702,62.770,36.753,-74.108912,41.474325
New York,city,7322564,8008278,8175133,15591.698,17051.766,17407.045,1460.069,355.279,1815.347,469.645,-73.938997,40.663383
Newark Valley,town,4189,4097,3946,83.256,81.428,78.426,-1.828,-3.001,-4.830,50.315,-76.163108,42.23022
Newburgh,city,26454,28259,28866,6907.896,7379.233,7537.738,471.337,158.505,629.842,3.830,-74.025039,41.50433
Newburgh,town,24058,27568,29801,501.381,574.531,621.068,73.150,46.537,119.687,47.984,-74.058784,41.552
Newcomb,town,544,481,436,2.346,2.074,1.880,-0.272,-0.194,-0.466,231.885,-74.125605,44.017762
Newfane,town,8996,9657,9666,172.548,185.226,185.399,12.678,0.173,12.851,52.136,-78.692996,43.281645
Newfield,town,4867,5108,5179,82.621,86.712,87.918,4.091,1.205,5.296,58.907,-76.613011,42.337658
Newport,town,2148,2192,2302,66.387,67.746,71.146,1.360,3.400,4.760,32.356,-75.036255,43.177909
Newstead,town,7440,8404,8594,140.418,158.611,162.197,18.194,3.586,21.780,52.985,-78.52075,43.021504
Niagara,town,9880,8978,8378,1056.522,960.066,895.905,-96.456,-64.161,-160.617,9.351,-78.981152,43.115537
Niagara Falls,city,61840,55593,50193,3666.472,3296.090,2975.925,-370.382,-320.164,-690.547,16.866,-79.014872,43.09216
Nichols,town,2525,2584,2525,72.579,74.275,72.579,1.696,-1.696,0.000,34.790,-76.349383,42.029658
Niles,town,1194,1208,1194,27.575,27.898,27.575,0.323,-0.323,0.000,43.300,-76.405896,42.812742
Niskayuna,town,19048,20295,21781,1261.919,1344.532,1442.979,82.613,98.447,181.060,15.094,-73.872919,42.803091
Norfolk,town,4258,4565,4668,73.785,79.105,80.890,5.320,1.785,7.105,57.708,-74.946789,44.832013
North Castle,town,10061,10849,11841,384.935,415.084,453.038,30.149,37.954,68.103,26.137,-73.694681,41.133112
North Collins,town,3502,3376,3523,81.193,78.272,81.680,-2.921,3.408,0.487,43.132,-78.863793,42.570842
North Dansville,town,5783,5738,5538,588.447,583.868,563.517,-4.579,-20.351,-24.930,9.828,-77.69146,42.558341
North Elba,town,7870,8661,8957,50.354,55.414,57.308,5.061,1.894,6.955,156.295,-73.996846,44.239567
North Greenbush,town,10891,10805,12075,573.489,568.961,635.835,-4.529,66.875,62.346,18.991,-73.663507,42.670566
North Harmony,town,2301,2521,2267,50.926,55.796,50.174,4.869,-5.622,-0.752,45.183,-79.453196,42.126699
North Hempstead,town,211393,222611,226322,2928.046,3083.429,3134.831,155.383,51.402,206.785,72.196,-73.680184,40.806721
North Hudson,town,266,266,240,1.421,1.421,1.283,0.000,-0.139,-0.139,187.132,-73.798075,44.001472
North Norwich,town,1998,1966,1783,70.744,69.611,63.131,-1.133,-6.480,-7.613,28.243,-75.498576,42.605147
North Salem,town,4725,5173,5104,203.640,222.948,219.974,19.308,-2.974,16.334,23.203,-73.603613,41.333039
North Tonawanda,city,34989,33262,31568,3219.572,3060.659,2904.783,-158.913,-155.876,-314.789,10.868,-78.865963,43.045596
Northampton,town,2705,2760,2670,78.033,79.619,77.023,1.587,-2.596,-1.010,34.665,-74.17471,43.193318
Northeast,town,2918,3002,3031,66.892,68.818,69.483,1.926,0.665,2.590,43.622,-73.54192,41.944501
Northumberland,town,3645,4603,5087,110.573,139.635,154.317,29.062,14.682,43.744,32.965,-73.630512,43.161989
Norway,town,663,711,762,18.555,19.899,21.326,1.343,1.427,2.771,35.731,-74.944714,43.221947
Norwich,city,7613,7355,7190,3685.698,3560.791,3480.910,-124.906,-79.882,-204.788,2.066,-75.52285,42.533584
Norwich,town,4084,3836,3998,97.063,91.168,95.019,-5.894,3.850,-2.044,42.076,-75.488094,42.508591
Nunda,town,2931,3017,3064,78.942,81.259,82.524,2.316,1.266,3.582,37.128,-77.897907,42.564291
Oakfield,town,3312,3203,3250,137.971,133.431,135.389,-4.541,1.958,-2.583,24.005,-78.271622,43.087243
Ogden,town,16912,18492,19856,460.171,503.162,540.276,42.991,37.114,80.105,36.752,-77.822031,43.164555
Ogdensburg,city,13521,12364,11128,1761.645,1610.900,1449.862,-150.745,-161.038,-311.783,7.675,-75.473245,44.708351
Ohio,town,880,922,1002,2.877,3.014,3.276,0.137,0.262,0.399,305.860,-74.921168,43.478183
Olean,city,16946,15347,14452,2745.526,2486.462,2341.458,-259.064,-145.004,-404.068,6.172,-78.432067,42.081771
Olean,town,1999,2029,1963,67.363,68.374,66.150,1.011,-2.224,-1.213,29.675,-78.423109,42.061682
Olive,town,4086,4579,4419,62.654,70.214,67.760,7.560,-2.453,5.106,65.215,-74.262961,41.947083
Oneida,city,10850,10987,11393,489.502,495.683,514.000,6.181,18.317,24.498,22.165,-75.662104,43.076987
Oneonta,city,13954,13292,13901,3222.337,3069.464,3210.098,-152.873,140.634,-12.239,4.330,-75.066587,42.455155
Oneonta,town,4963,4994,5229,148.291,149.217,156.239,0.926,7.022,7.948,33.468,-75.06593,42.465594
Onondaga,town,18396,21063,23101,295.766,338.645,371.412,42.879,32.766,75.646,62.198,-76.212697,42.967557
Ontario,town,8560,9778,10136,263.456,300.943,311.962,37.487,11.018,48.506,32.491,-77.313999,43.240715
Oppenheim,town,1848,1774,1924,32.801,31.487,34.150,-1.313,2.662,1.349,56.340,-74.683823,43.077349
Orange,town,1561,1752,1609,28.650,32.156,29.531,3.506,-2.625,0.881,54.485,-77.035049,42.33282
Orangetown,town,46742,47711,49212,1486.333,1517.146,1564.875,30.813,47.730,78.543,31.448,-73.947271,41.052654
Orangeville,town,1115,1301,1355,31.263,36.478,37.992,5.215,1.514,6.729,35.665,-78.248919,42.738831
Orchard Park,town,24632,27637,29054,638.132,715.982,752.692,77.849,36.710,114.559,38.600,-78.745546,42.75164
Orleans,town,2248,2465,2789,28.888,31.676,35.840,2.789,4.164,6.952,77.818,-75.960871,44.207978
Orwell,town,1171,1254,1167,28.419,30.433,28.322,2.014,-2.111,-0.097,41.205,-75.95313,43.56207
Osceola,town,239,265,229,2.741,3.039,2.626,0.298,-0.413,-0.115,87.210,-75.692107,43.562895
Ossian,town,797,751,789,20.064,18.906,19.863,-1.158,0.957,-0.201,39.723,-77.780974,42.520146
Ossining,town,34124,36534,37674,2196.358,2351.475,2424.850,155.117,73.375,228.492,15.537,-73.856022,41.155916
Oswegatchie,town,4036,4370,4397,56.660,61.349,61.728,4.689,0.379,5.068,71.231,-75.481475,44.629638
Oswego,city,19195,17954,18142,1695.897,1586.254,1602.864,-109.644,16.610,-93.034,11.318,-76.502978,43.458933
Oswego,town,8027,7287,7984,291.290,264.437,289.730,-26.854,25.293,-1.560,27.557,-76.555665,43.403803
Otego,town,3128,3183,3115,69.747,70.973,69.457,1.226,-1.516,-0.290,44.848,-75.187064,42.429392
Otisco,town,2255,2561,2541,72.467,82.301,81.658,9.834,-0.643,9.191,31.118,-76.222932,42.864829
Otsego,town,3932,3904,3900,68.441,67.954,67.884,-0.487,-0.070,-0.557,57.451,-74.978386,42.742986
Otselic,town,990,1001,1054,26.072,26.361,27.757,0.290,1.396,1.685,37.972,-75.740294,42.686191
Otto,town,777,831,808,24.054,25.726,25.014,1.672,-0.712,0.960,32.302,-78.839311,42.397307
Ovid,town,2306,2757,2311,59.458,71.087,59.587,11.629,-11.500,0.129,38.784,-76.789632,42.655994
Owasco,town,3490,3755,3793,148.745,160.040,161.659,11.294,1.620,12.914,23.463,-76.493991,42.888316
Owego,town,21279,20365,19883,201.577,192.919,188.353,-8.658,-4.566,-13.224,105.562,-76.190524,42.088068
Oxford,town,4075,3992,3901,67.440,66.066,64.560,-1.374,-1.506,-2.880,60.424,-75.591091,42.400193
Oyster Bay,town,292657,293925,293214,1716.829,1724.268,1720.097,7.439,-4.171,3.268,170.464,-73.520208,40.817622
Palatine,town,2787,3070,3240,66.716,73.491,77.560,6.775,4.070,10.844,41.774,-74.54983,42.945987
Palermo,town,3582,3686,3664,87.853,90.403,89.864,2.551,-0.540,2.011,40.773,-76.261684,43.363887
Palmyra,town,7690,7672,7975,228.460,227.925,236.927,-0.535,9.002,8.467,33.660,-77.191778,43.083383
Pamelia,town,2811,2897,3160,79.536,81.969,89.410,2.433,7.441,9.875,35.343,-75.903827,44.053486
Paris,town,4414,4609,4411,140.199,146.393,140.104,6.194,-6.289,-0.095,31.484,-75.266159,42.979835
Parish,town,2425,2694,2558,57.829,64.244,61.001,6.415,-3.243,3.172,41.934,-76.065501,43.410156
Parishville,town,1901,2049,2153,18.748,20.208,21.233,1.460,1.026,2.485,101.396,-74.819317,44.569176
Parma,town,13873,14822,15633,329.222,351.742,370.988,22.521,19.246,41.767,42.139,-77.796777,43.265119
Patterson,town,8679,11306,12023,265.633,346.036,367.981,80.403,21.945,102.348,32.673,-73.59212,41.484696
Pavilion,town,2327,2467,2495,65.070,68.984,69.767,3.915,0.783,4.698,35.762,-78.007413,42.905244
Pawling,town,5947,7521,8463,131.500,166.304,187.133,34.804,20.829,55.634,45.224,-73.597399,41.565922
Peekskill,city,19536,22441,23583,3569.129,4099.858,4308.496,530.729,208.638,739.367,5.474,-73.922353,41.288522
Pelham,town,11903,11866,12396,5386.921,5370.176,5610.037,-16.745,239.861,223.116,2.210,-73.806422,40.900109
Pembroke,town,4232,4530,4292,101.237,108.366,102.673,7.129,-5.693,1.435,41.803,-78.386758,42.994469
Pendleton,town,5010,6050,6397,182.680,220.601,233.254,37.922,12.653,50.574,27.425,-78.766343,43.101465
Penfield,town,30219,34645,36242,795.781,912.334,954.389,116.553,42.055,158.608,37.974,-77.448552,43.160272
Perinton,town,43015,46090,46462,1245.522,1334.560,1345.332,89.038,10.771,99.810,34.536,-77.428262,43.078172
Perry,town,5353,6654,4616,146.086,181.591,125.973,35.505,-55.618,-20.113,36.643,-78.014787,42.757422
Perrysburg,town,1838,1771,1626,53.160,51.223,47.029,-1.938,-4.194,-6.132,34.575,-79.011214,42.480428
Persia,town,2530,2512,2404,119.658,118.807,113.699,-0.851,-5.108,-5.959,21.144,-78.916016,42.39734
Perth,town,3377,3638,3646,129.250,139.239,139.546,9.989,0.306,10.296,26.128,-74.204712,43.003733
Peru,town,6254,6370,6998,67.628,68.882,75.673,1.254,6.791,8.045,92.477,-73.556098,44.582098
Petersburgh,town,1461,1563,1525,35.088,37.537,36.625,2.450,-0.913,1.537,41.639,-73.333475,42.771562
Pharsalia,town,735,542,593,18.780,13.849,15.152,-4.931,1.303,-3.628,39.137,-75.733613,42.59428
Phelps,town,6749,7017,7072,103.438,107.545,108.388,4.107,0.843,4.950,65.247,-77.048008,42.957515
Philadelphia,town,2136,2140,1947,56.765,56.871,51.742,0.106,-5.129,-5.023,37.629,-75.705611,44.146457
Philipstown,town,9242,9422,9662,178.076,181.544,186.169,3.468,4.624,8.093,51.899,-73.914926,41.418877
Piercefield,town,285,305,310,2.546,2.725,2.770,0.179,0.045,0.223,111.920,-74.602927,44.224678
Pierrepont,town,2375,2674,2589,38.906,43.804,42.411,4.898,-1.392,3.506,61.045,-75.013824,44.52764
Pike,town,1081,1086,1114,34.611,34.771,35.668,0.160,0.896,1.057,31.233,-78.139528,42.565207
Pinckney,town,323,319,329,7.855,7.758,8.001,-0.097,0.243,0.146,41.121,-75.780768,43.834254
Pine Plains,town,2287,2569,2473,73.504,82.567,79.482,9.063,-3.085,5.978,31.114,-73.651681,41.969358
Pitcairn,town,751,783,846,12.639,13.177,14.238,0.539,1.060,1.599,59.420,-75.277015,44.194821
Pitcher,town,751,848,803,26.372,29.778,28.198,3.406,-1.580,1.826,28.477,-75.835793,42.592126
Pittsfield,town,1116,1295,1366,29.622,34.373,36.257,4.751,1.885,6.636,37.675,-75.269806,42.613767
Pittsford,town,24497,27219,29405,1046.110,1162.349,1255.699,116.239,93.350,209.589,23.417,-77.526838,43.073292
Pittstown,town,5468,5644,5735,84.435,87.153,88.558,2.718,1.405,4.123,64.760,-73.505061,42.864706
Plainfield,town,850,986,915,28.837,33.451,31.043,4.614,-2.409,2.205,29.476,-75.194672,42.828399
Plattekill,town,8891,9892,10499,249.945,278.085,295.149,28.140,17.064,45.204,35.572,-74.071903,41.647989
Plattsburgh,city,21255,18816,19989,3208.441,2840.274,3017.338,-368.167,177.064,-191.103,6.625,-73.456362,44.694951
Plattsburgh,town,17231,11190,11870,252.305,163.849,173.806,-88.455,9.957,-78.498,68.294,-73.479411,44.69607
Pleasant Valley,town,8063,9066,9672,243.490,273.779,292.079,30.289,18.300,48.589,33.114,-73.804898,41.769698
Plymouth,town,1704,2049,1804,40.166,48.298,42.523,8.132,-5.775,2.357,42.424,-75.608782,42.600139
Poestenkill,town,3809,4054,4530,117.321,124.867,139.528,7.546,14.661,22.207,32.467,-73.526296,42.686414
Poland,town,2604,2467,2356,70.696,66.976,63.963,-3.719,-3.014,-6.733,36.834,-79.119187,42.130225
Pomfret,town,14224,14703,14965,321.269,332.087,338.005,10.819,5.918,16.737,44.274,-79.353449,42.402868
Pompey,town,5317,6159,7080,79.947,92.608,106.456,12.660,13.848,26.509,66.506,-75.98037,42.922903
Port Jervis,city,9060,8860,8828,3341.974,3268.199,3256.395,-73.774,-11.804,-85.578,2.711,-74.690504,41.378323
Portage,town,893,859,884,33.586,32.307,33.247,-1.279,0.940,-0.338,26.588,-77.997864,42.560913
Porter,town,7110,6920,6771,211.504,205.852,201.420,-5.652,-4.432,-10.084,33.616,-78.971845,43.251856
Portland,town,4832,5502,4827,141.031,160.586,140.885,19.555,-19.701,-0.146,34.262,-79.467036,42.366536
Portville,town,4397,3952,3730,121.771,109.447,103.299,-12.324,-6.148,-18.472,36.109,-78.347247,42.064741
Potsdam,town,16822,15957,16041,162.665,154.300,155.113,-8.364,0.812,-7.552,103.415,-75.039571,44.677423
Potter,town,1617,1830,1865,43.410,49.128,50.068,5.718,0.940,6.658,37.249,-77.180597,42.714086
Poughkeepsie,city,28844,29871,32736,5060.654,5240.840,5743.501,180.186,502.662,682.848,5.700,-73.921096,41.694894
Poughkeepsie,town,40143,42777,43341,1283.506,1367.724,1385.757,84.218,18.033,102.251,31.276,-73.907082,41.669815
Pound Ridge,town,4550,4726,5104,196.998,204.618,220.984,7.620,16.366,23.986,23.097,-73.574303,41.211069
Prattsburg,town,1894,2064,2085,36.618,39.905,40.311,3.287,0.406,3.693,51.723,-77.323359,42.532066
Prattsville,town,774,665,700,35.762,30.726,32.343,-5.036,1.617,-3.419,21.643,-74.414626,42.3221
Preble,town,1577,1582,1393,57.042,57.223,50.387,0.181,-6.836,-6.656,27.646,-76.131995,42.743063
Preston,town,1100,928,1044,31.401,26.491,29.803,-4.910,3.311,-1.599,35.030,-75.612972,42.506923
Princetown,town,2031,2132,2115,84.379,88.575,87.868,4.196,-0.706,3.490,24.070,-74.078059,42.811292
Providence,town,1360,1841,1995,30.196,40.875,44.294,10.679,3.419,14.099,45.040,-74.044427,43.116638
Pulteney,town,1417,1405,1285,38.870,38.541,35.249,-0.329,-3.292,-3.621,36.455,-77.195336,42.521178
Putnam,town,477,645,609,13.453,18.191,17.175,4.738,-1.015,3.723,35.458,-73.416158,43.750417
Putnam Valley,town,9094,10686,11809,211.915,249.013,275.182,37.098,26.169,63.267,42.913,-73.836312,41.398341
Queensbury,town,22630,25441,27901,333.211,374.602,410.823,41.390,36.222,77.612,67.915,-73.675512,43.361834
Ramapo,town,93861,108905,126595,1519.284,1762.794,2049.134,243.510,286.340,529.850,61.780,-74.107271,41.14039
Randolph,town,2613,2681,2602,71.990,73.864,71.687,1.873,-2.177,-0.303,36.297,-79.001028,42.12934
Rathbone,town,892,1080,1126,24.674,29.875,31.147,5.200,1.272,6.473,36.151,-77.335269,42.136588
Reading,town,1810,1786,1707,66.641,65.758,62.849,-0.884,-2.909,-3.792,27.160,-76.938518,42.419757
Red Hook,town,9565,10408,11319,241.305,262.573,285.555,21.267,22.983,44.250,39.639,-73.878511,42.018709
Red House,town,159,38,38,2.552,0.610,0.610,-1.942,0.000,-1.942,62.312,-78.763395,42.065087
Redfield,town,564,607,550,6.057,6.519,5.907,0.462,-0.612,-0.150,93.115,-75.828675,43.589025
Remsen,town,1739,1958,1929,47.126,53.061,52.275,5.935,-0.786,5.149,36.901,-75.145834,43.363053
Rensselaer,city,8255,7761,9392,2516.573,2365.975,2863.193,-150.598,497.218,346.619,3.280,-73.732648,42.647244
Rensselaerville,town,1990,1915,1843,32.141,30.930,29.767,-1.211,-1.163,-2.374,61.915,-74.174211,42.475157
Rhinebeck,town,7558,7762,7548,190.996,196.152,190.744,5.155,-5.408,-0.253,39.571,-73.897744,41.92764
Richfield,town,2711,2423,2388,83.750,74.853,73.772,-8.897,-1.081,-9.978,32.370,-75.049454,42.85479
Richford,town,1153,1170,1172,30.509,30.959,31.012,0.450,0.053,0.503,37.792,-76.195419,42.374457
Richland,town,5917,5824,5718,102.089,100.485,98.656,-1.605,-1.829,-3.433,57.959,-76.138035,43.546766
Richmond,town,3230,3452,3361,72.781,77.784,75.733,5.002,-2.050,2.952,44.380,-77.524506,42.791165
Richmondville,town,2397,2412,2610,79.260,79.756,86.303,0.496,6.547,7.043,30.242,-74.548462,42.638739
Ridgeway,town,7341,6886,6780,145.822,136.784,134.678,-9.038,-2.106,-11.144,50.342,-78.380559,43.261852
Riga,town,5114,5437,5590,144.726,153.867,158.197,9.141,4.330,13.471,35.336,-77.875269,43.080114
Ripley,town,2967,2636,2415,60.566,53.810,49.298,-6.757,-4.511,-11.268,48.988,-79.699215,42.232921
Riverhead,town,23011,27680,33506,109.239,131.404,159.062,22.165,27.658,49.822,210.648,-72.74908,41.008932
Rochester,city,231636,219773,210565,6323.278,5999.438,5748.075,-323.840,-251.363,-575.203,36.632,-77.61614,43.168006
Rochester,town,5679,7018,7313,63.648,78.655,81.961,15.007,3.306,18.313,89.225,-74.279773,41.813033
Rockland,town,4096,3913,3775,43.010,41.088,39.639,-1.922,-1.449,-3.371,95.235,-74.796984,41.938743
Rodman,town,1016,1147,1176,24.019,27.116,27.802,3.097,0.686,3.783,42.300,-75.910433,43.841861
Rome,city,44350,34950,33725,587.911,463.303,447.064,-124.608,-16.239,-140.847,75.437,-75.490855,43.226027
Romulus,town,2532,2036,4316,49.281,39.627,84.003,-9.654,44.376,34.722,51.379,-76.829632,42.716582
Root,town,1692,1752,1715,33.238,34.417,33.690,1.179,-0.727,0.452,50.906,-74.472869,42.841312
Rose,town,2424,2442,2369,71.494,72.024,69.871,0.531,-2.153,-1.622,33.905,-76.895366,43.161261
Roseboom,town,668,684,711,20.243,20.728,21.546,0.485,0.818,1.303,32.999,-74.727409,42.722371
Rosendale,town,6220,6352,6075,300.093,306.461,293.097,6.369,-13.364,-6.996,20.727,-74.078623,41.84731
Rossie,town,770,787,877,19.713,20.148,22.452,0.435,2.304,2.739,39.061,-75.630754,44.331925
Rotterdam,town,28395,28316,29094,776.881,774.719,796.005,-2.161,21.286,19.124,36.550,-74.013011,42.813451
Roxbury,town,2388,2509,2502,27.258,28.639,28.559,1.381,-0.080,1.301,87.608,-74.550603,42.298102
Royalton,town,7453,7710,7660,104.914,108.532,107.828,3.618,-0.704,2.914,71.039,-78.542538,43.151417
Rush,town,3217,3603,3478,104.835,117.414,113.340,12.579,-4.073,8.505,30.686,-77.672021,42.980626
Rushford,town,1176,1259,1150,32.553,34.850,31.833,2.298,-3.017,-0.720,36.126,-78.250223,42.392463
Russell,town,1716,1801,1856,17.677,18.553,19.119,0.876,0.567,1.442,97.074,-75.140841,44.405457
Russia,town,2294,2487,2587,37.986,41.182,42.838,3.196,1.656,4.852,60.391,-75.067189,43.301341
Rutland,town,3023,2959,3060,66.628,65.217,67.443,-1.411,2.226,0.815,45.372,-75.794858,43.947553
Rye,city,14936,14955,15720,1664.653,1666.770,1752.031,2.118,85.261,87.379,8.972,-73.687692,40.963037
Rye,town,39524,43880,45928,5329.282,5916.630,6192.775,587.348,276.145,863.494,7.416,-73.687803,41.006077
Salamanca,town,477,544,481,20.838,23.764,21.012,2.927,-2.752,0.175,22.891,-78.767201,42.16214
Salamanca,city,6566,6097,5815,1004.469,932.721,889.581,-71.748,-43.140,-114.888,6.537,-78.722898,42.164321
Salem,town,2608,2702,2715,49.784,51.579,51.827,1.794,0.248,2.043,52.386,-73.320024,43.163401
Salina,town,35145,33290,33710,2272.485,2152.541,2179.698,-119.945,27.157,-92.787,15.465,-76.17673,43.102369
Salisbury,town,1934,1953,1958,17.756,17.931,17.976,0.174,0.046,0.220,108.920,-74.794291,43.216333
Sand Lake,town,7642,7987,8530,212.082,221.656,236.726,9.574,15.069,24.644,36.033,-73.547724,42.628558
Sandy Creek,town,3454,3863,3939,80.613,90.159,91.932,9.546,1.774,11.319,42.847,-76.101733,43.634896
Sanford,town,2576,2477,2407,28.321,27.232,26.463,-1.088,-0.770,-1.858,90.959,-75.482018,42.091512
Sangerfield,town,2460,2610,2561,79.434,84.277,82.695,4.844,-1.582,3.261,30.969,-75.376365,42.900346
Santa Clara,town,311,395,345,1.623,2.061,1.800,0.438,-0.261,0.177,191.650,-74.376972,44.466559
Saranac,town,3710,4165,4007,32.018,35.945,34.581,3.927,-1.364,2.563,115.872,-73.809009,44.655394
